Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,TIPUS_DOMICILI
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,38,7
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,175,8
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,7,9
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,2,10
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,49,11
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,48,12
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,74,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,96,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,21,3
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,16,4
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,123,5
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,8,6
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,21,7
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,147,8
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,6,9
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,2,10
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,27,11
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,26,12
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,110,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,156,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,57,3
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,40,4
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,164,5
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,28,6
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,54,7
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,223,8
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,17,9
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,5,10
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,67,11
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,65,12
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,89,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,130,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,32,3
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,19,4
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,136,5
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,20,6
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,26,7
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,158,8
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,14,9
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,1,10
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,37,11
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,42,12
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,183,1
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,155,2
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,65,3
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,32,4
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,164,5
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,38,6
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,51,7
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,134,8
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,10,9
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,4,10
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,36,11
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,25,12
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,98,1
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,98,2
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,39,3
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,10,4
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,98,5
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,20,6
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,23,7
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,76,8
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,9,9
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,1,10
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,31,11
